"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"28","F4","=~","qu42",0.618207140145422,0.0677451926147576,9.12547615977628,0,0.485429002494769,0.750985277796076
"29","F4","=~","qu43",0.786835016184383,0.0515301225680817,15.2694186811765,0,0.685837831832009,0.887832200536758
"30","F4","=~","qu44",0.829393721031873,0.040192594704609,20.635485893046,0,0.750617682965624,0.908169759098122
"31","F1","~~","F2",-0.70617384661341,0.122705147467373,-5.75504663976038,8.66178773151205e-09,-0.946671516367138,-0.465676176859681
"32","F1","~~","F3",0.787101462242966,0.119564949414227,6.58304516582106,4.60909088673134e-11,0.552758467577728,1.0214444569082
"33","F1","~~","F4",-0.51702213543786,0.2006514710151,-2.57671739370877,0.00997434624593008,-0.910291792072438,-0.123752478803281
"34","F2","~~","F3",-0.527195231649389,0.14827204791839,-3.55559418683931,0.000377125808205259,-0.817803105483431,-0.236587357815346
"35","F2","~~","F4",0.200026384808159,0.0980010049389895,2.04106462921156,0.0412444035607085,0.00794794467900736,0.39210482493731
"36","F3","~~","F4",-0.259588172849024,0.0948129493556411,-2.73789787801364,0.00618332734137383,-0.445418138854101,-0.0737582068439475
"37","qu13","~~","qu13",0.92181870033584,0.13198597967777,6.984216828078,2.86459744813783e-12,0.663130933703176,1.1805064669685
"38","qu14","~~","qu14",0.988303650470416,0.0473548961606109,20.8701471357564,0,0.895489759503984,1.08111754143685
"39","qu15","~~","qu15",0.844521731870374,0.0958572038988245,8.81020619756185,0,0.656645064569965,1.03239839917078
"40","qu16","~~","qu16",0.792373547829115,0.0879530075896174,9.00905573947254,0,0.619988820621487,0.964758275036743
"41","qu17","~~","qu17",0.763647580642389,0.198103129267923,3.85479817236809,0.000115825141413284,0.375372582052577,1.1519225792322
"42","qu18","~~","qu18",0.701446888247354,0.173339138605665,4.04667343964999,5.19506361313926e-05,0.361708419469054,1.04118535702565
"43","qu19","~~","qu19",0.902721817169922,0.0739650305489885,12.2047109352849,0,0.757753021178499,1.04769061316134
"44","qu20","~~","qu20",0.999591985575024,0.00688893703765015,145.101048262156,0,0.986089917089466,1.01309405406058
"45","qu21","~~","qu21",0.658241772448992,0.101722198484034,6.47097469636689,9.73727765085641e-11,0.458869926992052,0.857613617905933
"46","qu22","~~","qu22",0.519347204557777,0.0851509725773093,6.0991341477193,1.06644537645195e-09,0.352454365057693,0.686240044057861
"47","qu24","~~","qu24",0.772644288247214,0.105002216681437,7.35836168669959,1.86073378927176e-13,0.566843725254727,0.978444851239701
"48","qu25","~~","qu25",0.631814859835875,0.11031494346232,5.72737328240289,1.01997572610202e-08,0.415601543693156,0.848028175978594
"49","qu26","~~","qu26",0.672738535755876,0.0934164925228494,7.20149641233132,5.95523630408934e-13,0.489645574849036,0.855831496662716
"50","qu27","~~","qu27",0.765940693064328,0.0791553723721835,9.67642081781795,0,0.610799014031992,0.921082372096664
"51","qu28","~~","qu28",0.812790965226654,0.0754605969587547,10.77106460834,0,0.664890912935602,0.960691017517705
"52","qu29","~~","qu29",0.716909595893383,0.10953791781352,6.54485323624528,5.95539173531279e-11,0.502219222037376,0.93159996974939
